agency_cd,site_no,datetime,tz_cd,89062_00060,89062_00060_cd,89063_00065,89063_00065_cd
USGS,02085070,2022-11-17 07:20,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:25,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:30,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:35,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:40,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:45,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:50,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 07:55,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:00,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:05,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:10,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:15,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:20,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:25,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:30,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:35,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:40,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:45,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:50,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 08:55,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:00,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:05,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:10,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:15,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:20,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:25,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:30,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:35,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:40,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 09:45,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 09:50,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 09:55,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:00,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:05,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 10:10,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 10:15,EST,11.7,P,1.67,P
USGS,02085070,2022-11-17 10:20,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:25,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:30,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:35,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:40,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:45,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:50,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 10:55,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:00,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:05,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:10,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:15,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:20,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:25,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:30,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:35,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:40,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:45,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 11:50,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 11:55,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:00,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:05,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:10,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:15,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 12:20,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:25,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:30,EST,11.4,P,1.66,P
USGS,02085070,2022-11-17 12:35,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:40,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:45,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:50,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 12:55,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:00,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:05,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:10,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:15,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:20,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:25,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:30,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:35,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:40,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:45,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:50,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 13:55,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:00,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:05,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:10,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:15,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:20,EST,11.1,P,1.65,P
USGS,02085070,2022-11-17 14:25,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:30,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:35,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:40,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:45,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 14:55,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:05,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:10,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:15,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:20,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:25,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:30,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:35,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:40,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:45,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 15:55,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:05,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:10,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:15,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:20,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:25,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:30,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:35,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:40,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:45,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 16:55,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:05,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:10,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:15,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:20,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:25,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:30,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:35,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:40,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:45,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 17:55,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:05,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:10,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:15,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:20,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:25,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:30,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:35,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:40,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:45,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 18:50,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 18:55,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:00,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 19:05,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:10,EST,10.8,P,1.64,P
USGS,02085070,2022-11-17 19:15,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:20,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:25,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:30,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:35,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:40,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:45,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:50,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 19:55,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:00,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:05,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:10,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:15,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:20,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:25,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:30,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:35,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:40,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:45,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:50,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 20:55,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:00,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:05,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:10,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:15,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:20,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:25,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:30,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:35,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:40,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:45,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:50,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 21:55,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:00,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:05,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:10,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:15,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:20,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:25,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:30,EST,10.5,P,1.63,P
USGS,02085070,2022-11-17 22:35,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 22:40,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 22:45,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 22:50,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 22:55,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:00,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:05,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:10,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:15,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:20,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:25,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:30,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:35,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:40,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:45,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:50,EST,10.2,P,1.62,P
USGS,02085070,2022-11-17 23:55,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:00,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:05,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:10,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:15,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:20,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:25,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:30,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:35,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:40,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:45,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:50,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 00:55,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:00,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:05,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:10,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:15,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:20,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:25,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:30,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:35,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:40,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:45,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:50,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 01:55,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:00,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:05,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:10,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:15,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:20,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:25,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:30,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:35,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 02:40,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:45,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:50,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 02:55,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 03:00,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 03:05,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 03:10,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 03:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:20,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:25,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:30,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:35,EST,10.2,P,1.62,P
USGS,02085070,2022-11-18 03:40,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:45,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:50,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 03:55,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:00,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:05,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:10,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:20,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:25,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:30,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:35,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:40,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:45,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:50,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 04:55,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:00,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:05,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:10,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:20,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:25,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:30,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:35,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:40,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:45,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:50,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 05:55,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:00,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:05,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:10,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:20,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:25,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:30,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:35,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:40,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:45,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:50,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 06:55,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:00,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:05,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:10,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:15,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:20,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:25,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:30,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:35,EST,9.97,P,1.61,P
USGS,02085070,2022-11-18 07:40,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 07:45,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 07:50,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 07:55,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:00,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:05,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:10,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:15,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:20,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:25,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:30,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:35,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:40,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:45,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:50,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 08:55,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:00,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:05,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:10,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:15,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:20,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:25,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:30,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:35,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:40,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:45,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:50,EST,9.71,P,1.60,P
USGS,02085070,2022-11-18 09:55,EST,9.71,P,1.60,P
